日期,成本类型,项目,金额,栏区,责任组,备注
2024-05-10,转运,废弃物处理,5412.85,栏区4,C组,价格较上月下降，批量采购优惠
2024-05-08,转运,物资运输,4339.67,栏区8,B组,新进人员培训费用
2024-05-08,维修,设备维修,922.82,栏区5,C组,本月价格波动较大，供应商提价5%
2024-05-08,转运,生猪转运,5559.11,栏区8,A组,栏舍消毒专项费用
2024-05-07,人工,技术员,12748.44,栏区5,C组,季度性防疫物资采购
2024-05-05,人工,清洁工,12854.05,栏区7,C组,应急维修，非计划内支出
2024-05-05,人工,兽医,15596.56,栏区7,A组,应急维修，非计划内支出
2024-05-03,人工,兽医,8490.26,栏区4,B组,雨季导致运输延误，产生额外费用
2024-05-03,人工,饲养员,5395.71,栏区1,C组,本月价格波动较大，供应商提价5%
2024-04-30,人工,技术员,8993.67,栏区8,C组,栏舍消毒专项费用
2024-04-28,饲料,预混料,6894.02,栏区3,A组,本月价格波动较大，供应商提价5%
2024-04-28,人工,兽医,7147.82,栏区6,D组,雨季导致运输延误，产生额外费用
2024-04-27,维修,工具更换,4390.93,栏区6,A组,本月价格波动较大，供应商提价5%
2024-04-26,人工,兽医,16635.86,栏区8,B组,季度性防疫物资采购
2024-04-26,转运,饲料运输,5765.3,栏区6,A组,季度性防疫物资采购
2024-04-22,饲料,豆粕,8455.3,栏区3,A组,设备定期保养维护
2024-04-22,转运,物资运输,1759.51,栏区7,D组,
2024-04-18,转运,饲料运输,5377.87,栏区7,A组,
2024-04-18,维修,设备维修,4208.15,栏区7,B组,
2024-04-16,人工,清洁工,9413.86,栏区4,A组,
2024-04-12,人工,清洁工,11886.46,栏区4,A组,新进人员培训费用
2024-04-11,饲料,麸皮,9220.61,栏区2,B组,季度性防疫物资采购
2024-04-10,饲料,麸皮,11272.18,栏区7,C组,新进人员培训费用
2024-04-10,转运,饲料运输,2151.74,栏区1,A组,本月价格波动较大，供应商提价5%
2024-04-05,饲料,麸皮,8698.07,栏区3,C组,新进人员培训费用
2024-04-04,转运,物资运输,1521.9,栏区4,D组,价格较上月下降，批量采购优惠
2024-04-04,转运,生猪转运,894.75,栏区3,C组,
2024-04-03,转运,物资运输,4437.46,栏区8,A组,
2024-04-01,维修,栏舍维修,1204.86,栏区3,A组,栏舍消毒专项费用
2024-04-01,维修,设备维修,2885.03,栏区1,C组,
2024-04-01,维修,栏舍维修,3501.67,栏区8,A组,应急维修，非计划内支出
2024-03-31,维修,水电维修,7281.19,栏区1,D组,栏舍消毒专项费用
2024-03-30,饲料,预混料,7010.16,栏区3,A组,设备老化需更换零件，费用偏高
2024-03-30,维修,设备维修,1882.5,栏区7,A组,
2024-03-28,饲料,玉米,4583.3,栏区3,C组,
2024-03-26,维修,水电维修,1550.63,栏区2,A组,设备老化需更换零件，费用偏高
2024-03-21,转运,物资运输,3969.73,栏区7,A组,栏舍消毒专项费用
2024-03-16,维修,栏舍维修,3169.8,栏区5,B组,应急维修，非计划内支出
2024-03-15,维修,水电维修,6996.32,栏区3,B组,价格较上月下降，批量采购优惠
2024-03-14,饲料,玉米,5357.18,栏区6,A组,设备老化需更换零件，费用偏高
2024-03-10,维修,工具更换,805.81,栏区4,C组,设备定期保养维护
2024-03-10,人工,清洁工,9123.24,栏区1,D组,
2024-03-09,转运,废弃物处理,5913.8,栏区1,D组,本月价格波动较大，供应商提价5%
2024-03-09,转运,物资运输,1011.79,栏区5,D组,临时加班人员费用
2024-03-08,转运,物资运输,4760.42,栏区7,B组,
2024-03-05,维修,设备维修,5386.14,栏区5,A组,
2024-03-03,维修,工具更换,5273.08,栏区6,A组,临时加班人员费用
2024-03-03,人工,饲养员,19488.54,栏区2,A组,本月价格波动较大，供应商提价5%
2024-03-03,人工,兽医,7871.2,栏区1,D组,栏舍消毒专项费用
2024-03-02,饲料,玉米,11001.67,栏区8,C组,
2024-03-02,维修,工具更换,5494.42,栏区3,C组,栏舍消毒专项费用
2024-02-29,转运,饲料运输,2057.63,栏区4,A组,
2024-02-29,饲料,预混料,14548.27,栏区5,D组,栏舍消毒专项费用
2024-02-28,维修,水电维修,1546.2,栏区8,C组,
2024-02-27,维修,设备维修,3112.52,栏区4,A组,价格较上月下降，批量采购优惠
2024-02-23,维修,栏舍维修,7475.13,栏区2,D组,
2024-02-23,转运,废弃物处理,3716.88,栏区1,D组,应急维修，非计划内支出
2024-02-21,人工,技术员,7280.3,栏区5,A组,本月价格波动较大，供应商提价5%
2024-02-19,维修,设备维修,5086.35,栏区7,A组,
2024-02-17,饲料,麸皮,9436.05,栏区4,D组,本月价格波动较大，供应商提价5%
2024-02-16,饲料,玉米,7437.16,栏区3,A组,设备老化需更换零件，费用偏高
2024-02-16,维修,水电维修,6163.53,栏区3,C组,设备老化需更换零件，费用偏高
2024-02-15,人工,饲养员,18019.4,栏区8,A组,季度性防疫物资采购
2024-02-15,饲料,玉米,9439.8,栏区7,A组,临时加班人员费用
2024-02-13,人工,兽医,9717.55,栏区6,C组,价格较上月下降，批量采购优惠
2024-02-09,转运,饲料运输,2821.12,栏区5,D组,
2024-02-08,转运,生猪转运,3390.46,栏区3,B组,雨季导致运输延误，产生额外费用
2024-02-08,转运,生猪转运,5156.09,栏区1,B组,应急维修，非计划内支出
2024-02-05,转运,生猪转运,2100.09,栏区6,D组,正常月度开支
2024-01-30,维修,水电维修,4427.02,栏区2,D组,临时加班人员费用
2024-01-28,人工,兽医,13614.02,栏区5,B组,
2024-01-28,转运,废弃物处理,1770.16,栏区8,B组,设备定期保养维护
2024-01-28,饲料,麸皮,13050.5,栏区8,C组,本月价格波动较大，供应商提价5%
2024-01-27,维修,栏舍维修,3125.59,栏区5,D组,本月价格波动较大，供应商提价5%
2024-01-27,人工,兽医,5492.28,栏区3,D组,栏舍消毒专项费用
2024-01-25,转运,废弃物处理,4297.1,栏区8,A组,正常月度开支
2024-01-14,饲料,麸皮,7909.03,栏区3,D组,栏舍消毒专项费用
2024-01-14,人工,兽医,15919.24,栏区5,B组,设备老化需更换零件，费用偏高
2024-01-12,维修,栏舍维修,7628.09,栏区8,D组,高温季节降温设施运行费用增加
2024-01-12,饲料,玉米,10837.98,栏区1,B组,雨季导致运输延误，产生额外费用
2024-01-10,维修,栏舍维修,5263.2,栏区7,B组,
2024-01-09,人工,兽医,4660.43,栏区7,D组,高温季节降温设施运行费用增加
2024-01-08,饲料,豆粕,4445.58,栏区4,B组,新进人员培训费用
2024-01-08,饲料,麸皮,4253.74,栏区8,D组,设备老化需更换零件，费用偏高
2024-01-05,饲料,豆粕,5621.67,栏区5,B组,
2024-01-04,饲料,豆粕,13416.87,栏区4,C组,设备老化需更换零件，费用偏高
2024-01-02,转运,饲料运输,5309.43,栏区8,D组,临时加班人员费用
2024-01-02,饲料,预混料,12821.75,栏区8,D组,
